Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
ORELLANA;-0,30136260;-76,85710630;25;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;02/02/2023;ENCONTRADO;15/02/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,23918980;-79,17014213;51;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;14/02/2023;ENCONTRADO;15/02/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,23918980;-79,17014213;26;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;14/02/2023;ENCONTRADO;15/02/2023
PICHINCHA;-0,12296850;-78,49672650;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/02/2023;ENCONTRADO;16/02/2023
PICHINCHA;-0,32059576;-78,56340413;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;20/01/2023;ENCONTRADO;05/02/2023
GUAYAS;-2,15033290;-79,60241150;19;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;13/02/2023;ENCONTRADO;16/02/2023
EL ORO;-3,18907574;-79,85556364;14;MUJER;PROBLEMAS ACADÉMICOS;BAJO RENDIMIENTO;14/02/2023;ENCONTRADO;17/02/2023
CHIMBORAZO;-1,66417088;-78,65643670;39;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;17/03/2023;ENCONTRADO;08/04/2023
PICHINCHA;-0,25907150;-78,52917060;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;06/02/2023;ENCONTRADO;14/02/2023
ESMERALDAS;0,90856954;-79,69343146;33;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;21/01/2023;ENCONTRADO;09/02/2023
GUAYAS;-2,12848130;-79,99864010;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/01/2023;ENCONTRADO;16/02/2023
AZUAY;-2,91457549;-78,96297246;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;14/02/2023;ENCONTRADO;15/02/2023
IMBABURA;0,30234722;-78,26567382;15;MUJER;PROBLEMAS ACADÉMICOS;BAJO RENDIMIENTO;10/02/2023;ENCONTRADO;16/02/2023
MANABI;-0,34645534;-79,60697964;33;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/02/2023;ENCONTRADO;16/02/2023
LOJA;-3,98107236;-79,19442179;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/03/2023;ENCONTRADO;29/03/2023
ESMERALDAS;0,89740461;-79,71300654;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;12/02/2023;ENCONTRADO;15/02/2023
GUAYAS;-2,25185481;-79,92239378;51;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;07/02/2023;ENCONTRADO;15/02/2023
TUNGURAHUA;-1,21640760;-78,57744080;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/02/2023;ENCONTRADO;18/02/2023
IMBABURA;0,38225321;-78,10905100;21;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;16/02/2023;ENCONTRADO;17/02/2023
GUAYAS;-2,20285530;-79,91162210;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/02/2023;ENCONTRADO;16/02/2023
GUAYAS;-2,08487278;-79,96628523;36;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;04/02/2023;ENCONTRADO;16/02/2023
GUAYAS;-2,32868390;-79,40567840;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;19/01/2023;ENCONTRADO;04/04/2023
PICHINCHA;-0,18311180;-78,35554820;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;09/02/2023;ENCONTRADO;15/02/2023
CHIMBORAZO;-1,66436157;-78,63530977;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;15/02/2023;ENCONTRADO;16/02/2023
ORELLANA;-0,30136260;-76,85710630;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;14/02/2023;ENCONTRADO;20/02/2023
ESMERALDAS;0,32936892;-79,46171163;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;10/02/2023;ENCONTRADO;16/02/2023
GUAYAS;-1,37292421;-79,89837657;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/02/2023;ENCONTRADO;22/02/2023
EL ORO;-3,12312100;-79,84066790;16;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;30/01/2023;ENCONTRADO;16/02/2023
BOLIVAR;-1,66470943;-79,04066563;78;HOMBRE;EXTRAVIADA;HOSPITALIZADO;13/02/2023;ENCONTRADO;17/02/2023
PASTAZA;-1,45784234;-77,90590808;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/02/2023;ENCONTRADO;16/02/2023
TUNGURAHUA;-1,28037000;-78,63703670;18;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;14/02/2023;ENCONTRADO;18/02/2023
COTOPAXI;-0,94444457;-78,58734701;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/02/2023;ENCONTRADO;16/02/2023
COTOPAXI;-0,92550312;-78,61391440;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;14/02/2023;ENCONTRADO;15/02/2023
EL ORO;-3,29224900;-79,90247790;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/02/2023;ENCONTRADO;17/02/2023
PICHINCHA;-0,21135980;-78,52136010;16;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/02/2023;ENCONTRADO;18/02/2023
IMBABURA;0,23430050;-78,26106720;49;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/02/2023;ENCONTRADO;16/02/2023
MANABI;-0,94573260;-80,63571840;24;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;10/01/2023;ENCONTRADO;18/02/2023
MANABI;-0,94573260;-80,63571840;45;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;10/01/2023;ENCONTRADO;18/02/2023
MANABI;-0,94573260;-80,63571840;22;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;10/01/2023;ENCONTRADO;18/02/2023
EL ORO;-3,25295072;-79,94791746;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/02/2023;ENCONTRADO;18/02/2023
GUAYAS;-2,09949189;-79,96049568;43;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;28/01/2023;ENCONTRADO;20/03/2023
LOS RIOS;-1,67017301;-79,71482045;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;06/02/2023;ENCONTRADO;16/02/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,25908528;-79,15953468;36;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;15/02/2023;ENCONTRADO;16/02/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,25908528;-79,15953468;34;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;15/02/2023;ENCONTRADO;16/02/2023
TUNGURAHUA;-1,23309620;-78,62001290;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/02/2023;ENCONTRADO;18/02/2023
AZUAY;-2,91356170;-79,03082460;13;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/02/2023;ENCONTRADO;17/02/2023
LOJA;-4,00594110;-79,20333360;34;MUJER;PROBLEMAS SOCIALES;ALCOHOLISMO;17/02/2023;ENCONTRADO;19/02/2023
MANABI;-1,05039140;-80,66053470;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/02/2023;ENCONTRADO;18/02/2023
LOJA;-3,97325280;-79,21593160;36;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;15/02/2023;ENCONTRADO;18/02/2023
PICHINCHA;-0,12192490;-78,50054670;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/02/2023;ENCONTRADO;17/02/2023
LOJA;-3,98196250;-79,21266730;48;HOMBRE;PROBLEMAS SOCIALES;ALCOHOLISMO;13/02/2023;ENCONTRADO;16/02/2023
PICHINCHA;-0,24161746;-78,52890886;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/02/2023;ENCONTRADO;18/02/2023
MORONA SANTIAGO;-2,30743780;-78,12023070;7;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/01/2023;ENCONTRADO;19/02/2023
AZUAY;-2,87661815;-79,04517712;19;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/02/2023;ENCONTRADO;20/02/2023
PICHINCHA;-0,32832590;-78,44983470;27;MUJER;SIN_DATO;SIN_DATO;19/04/2023;DESAPARECIDO;SIN_DATO
ZAMORA CHINCHIPE;-4,00129496;-78,64039920;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;03/01/2023;ENCONTRADO;17/02/2023
PICHINCHA;-0,18065320;-78,46783820;45;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;19/02/2023;ENCONTRADO;20/02/2023
PICHINCHA;-0,30784762;-78,52700066;38;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/02/2023;ENCONTRADO;19/02/2023
PICHINCHA;-0,18688280;-78,48294120;44;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;18/02/2023;ENCONTRADO;19/02/2023
GUAYAS;-2,09388605;-79,96836259;15;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/02/2023;ENCONTRADO;20/02/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,22558050;-79,19040650;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;08/02/2023;ENCONTRADO;15/02/2023
SANTO DOMINGO DE LOS TSACHILAS;0,00916720;-79,39160500;16;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;13/01/2023;ENCONTRADO;20/02/2023
TUNGURAHUA;-1,27488429;-78,60638116;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/02/2023;ENCONTRADO;20/02/2023
LOS RIOS;-1,57034630;-79,46454780;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/02/2023;ENCONTRADO;18/02/2023
GUAYAS;-2,15021038;-79,82568316;16;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;17/02/2023;ENCONTRADO;20/02/2023
GUAYAS;-2,14176756;-79,87908747;33;HOMBRE;FALLECIDO;NO DETERMINADA;10/02/2023;FALLECIDO;18/02/2023
MORONA SANTIAGO;-2,30743780;-78,12023070;20;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;05/02/2023;ENCONTRADO;20/02/2023
PICHINCHA;-0,18929670;-78,50446910;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/02/2023;ENCONTRADO;17/02/2023
CARCHI;0,82278225;-77,70768821;40;HOMBRE;PROBLEMAS SOCIALES;MIGRACION;07/02/2023;ENCONTRADO;18/02/2023
GUAYAS;-2,13327666;-79,96867946;27;HOMBRE;FALLECIDO;NO DETERMINADA;22/03/2023;FALLECIDO;28/03/2023
PICHINCHA;-0,17750000;-78,47666670;49;MUJER;PROBLEMAS SOCIALES;ALCOHOLISMO;20/05/2023;ENCONTRADO;24/05/2023
EL ORO;-3,36368941;-79,84223116;40;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;19/05/2023;ENCONTRADO;01/06/2023
PICHINCHA;-0,12377461;-78,51072141;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/02/2023;ENCONTRADO;15/03/2023
PICHINCHA;-0,29323518;-78,54967366;19;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;03/02/2023;ENCONTRADO;09/03/2023
PICHINCHA;-0,51716540;-78,58074010;10;HOMBRE;PROBLEMAS SOCIALES;MIGRACION;03/02/2023;ENCONTRADO;16/02/2023
PICHINCHA;-0,51716540;-78,58074010;8;MUJER;PROBLEMAS SOCIALES;MIGRACION;03/02/2023;ENCONTRADO;16/02/2023
PICHINCHA;-0,51716540;-78,58074010;15;HOMBRE;PROBLEMAS SOCIALES;MIGRACION;03/02/2023;ENCONTRADO;16/02/2023
PICHINCHA;-0,51716540;-78,58074010;33;MUJER;PROBLEMAS SOCIALES;MIGRACION;03/02/2023;ENCONTRADO;16/02/2023
IMBABURA;0,34602870;-78,13322840;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;19/02/2023;ENCONTRADO;21/02/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,25175718;-79,17186791;12;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;03/02/2023;ENCONTRADO;05/02/2023
IMBABURA;0,39074380;-77,94102510;30;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;05/02/2023;ENCONTRADO;20/02/2023
CARCHI;0,81506870;-77,71659250;28;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;18/02/2023;ENCONTRADO;21/02/2023
LOS RIOS;-0,88577210;-79,48726190;41;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;05/02/2023;ENCONTRADO;20/02/2023
GUAYAS;-2,15475790;-79,81488950;11;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;31/01/2023;ENCONTRADO;21/02/2023
GUAYAS;-2,14141684;-79,92464662;24;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;17/02/2023;ENCONTRADO;21/02/2023
MORONA SANTIAGO;-2,00415198;-77,95299747;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;21/01/2023;ENCONTRADO;21/02/2023
LOS RIOS;-1,01495173;-79,46869748;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;12/02/2023;ENCONTRADO;20/02/2023
GUAYAS;-2,20619860;-79,90290510;65;HOMBRE;FALLECIDO;NO DETERMINADA;23/02/2023;FALLECIDO;24/02/2023
GUAYAS;-2,15599300;-79,92157250;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/02/2023;ENCONTRADO;21/02/2023
IMBABURA;0,29786850;-78,21913200;19;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/02/2023;ENCONTRADO;20/02/2023
PICHINCHA;-0,28064710;-78,55640750;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/02/2023;ENCONTRADO;22/02/2023
PICHINCHA;-0,30909984;-78,56088482;12;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;10/02/2023;ENCONTRADO;21/02/2023
CHIMBORAZO;-1,64622260;-78,68006070;82;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;19/02/2023;ENCONTRADO;21/02/2023
LOJA;-3,98389960;-79,23758920;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;11/02/2023;ENCONTRADO;27/02/2023
IMBABURA;0,23430050;-78,26106720;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;11/02/2023;ENCONTRADO;16/02/2023
NAPO;-1,00542871;-77,81012690;25;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;07/02/2023;ENCONTRADO;22/02/2023
NAPO;-1,00727580;-77,80932720;21;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/02/2023;ENCONTRADO;22/02/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,28841940;-79,20718950;53;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;08/02/2023;ENCONTRADO;08/02/2023
GUAYAS;-2,13726340;-79,88845620;16;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/02/2023;ENCONTRADO;22/02/2023
GUAYAS;-2,19439560;-79,91345200;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/02/2023;ENCONTRADO;22/02/2023
GUAYAS;-2,03878876;-79,85691011;54;HOMBRE;FALLECIDO;NO DETERMINADA;15/02/2023;FALLECIDO;22/02/2023
PICHINCHA;-0,12873390;-78,51425900;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;15/02/2023;ENCONTRADO;15/02/2023
PICHINCHA;-0,06973410;-78,45956440;69;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;15/02/2023;ENCONTRADO;21/02/2023
CHIMBORAZO;-1,56543750;-78,75093750;19;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;21/02/2023;ENCONTRADO;22/02/2023
TUNGURAHUA;-1,13193790;-78,58835653;25;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/01/2023;ENCONTRADO;16/02/2023
NAPO;-0,46476808;-77,89117813;18;MUJER;DISCAPACIDADES Y ENFERMEDADES;RETARDOS MENTALES;13/02/2023;ENCONTRADO;22/02/2023
LOJA;-3,97074040;-79,19667880;43;MUJER;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;20/01/2023;ENCONTRADO;21/02/2023
TUNGURAHUA;-1,27600560;-78,58524700;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;30/01/2023;ENCONTRADO;22/02/2023
GUAYAS;-1,86218000;-79,97766900;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;16/02/2023;ENCONTRADO;22/02/2023
CHIMBORAZO;-1,66777800;-78,64364180;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;20/02/2023;ENCONTRADO;22/02/2023
MORONA SANTIAGO;-2,53838106;-78,15719045;5;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;13/02/2023;ENCONTRADO;22/02/2023
EL ORO;-3,26267676;-79,93968844;64;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;20/02/2023;ENCONTRADO;22/02/2023
EL ORO;-3,26267676;-79,93968844;67;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;20/02/2023;ENCONTRADO;22/02/2023
EL ORO;-3,25352624;-79,94789838;23;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/02/2023;ENCONTRADO;22/02/2023
IMBABURA;0,24212560;-78,25689260;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;18/02/2023;ENCONTRADO;22/02/2023
GUAYAS;-2,20743480;-79,90327740;10;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/02/2023;ENCONTRADO;22/02/2023
LOJA;-4,00489200;-79,20660306;4;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;09/02/2023;ENCONTRADO;16/02/2023
BOLIVAR;-1,64072315;-79,26046919;1;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;22/02/2023;ENCONTRADO;24/02/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,26408880;-79,16537290;59;HOMBRE;FALLECIDO;NO DETERMINADA;17/03/2023;FALLECIDO;21/03/2023
CHIMBORAZO;-1,64754465;-78,74257266;36;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/04/2023;ENCONTRADO;22/04/2023
GUAYAS;-2,20266588;-79,38986929;13;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;20/02/2023;ENCONTRADO;21/02/2023
GUAYAS;-2,20266588;-79,38986929;13;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;20/02/2023;ENCONTRADO;21/02/2023
GUAYAS;-2,11788317;-79,57753704;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;14/02/2023;ENCONTRADO;19/02/2023
BOLIVAR;-1,98234555;-79,05511069;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;17/04/2023;ENCONTRADO;22/04/2023
MANABI;-1,05204861;-80,45770167;22;HOMBRE;PROBLEMAS PSICOLÓGICOS;DEPRESION;22/02/2023;ENCONTRADO;23/02/2023
TUNGURAHUA;-1,34787760;-78,66965760;13;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;20/02/2023;ENCONTRADO;23/02/2023
LOS RIOS;-0,87365210;-79,48601160;25;MUJER;FALLECIDO;MUERTE NATURAL;04/03/2023;FALLECIDO;22/03/2023
ESMERALDAS;0,96655255;-79,65158695;17;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;16/02/2023;ENCONTRADO;19/02/2023
GUAYAS;-2,12877632;-79,88940239;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/02/2023;ENCONTRADO;23/02/2023
EL ORO;-3,32660594;-79,80794920;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;22/02/2023;ENCONTRADO;23/02/2023
IMBABURA;0,18072340;-78,20488780;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;19/02/2023;ENCONTRADO;23/02/2023
EL ORO;-3,25680052;-79,98960500;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;05/02/2023;ENCONTRADO;05/02/2023
EL ORO;-3,25530626;-79,98565679;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;05/02/2023;ENCONTRADO;05/02/2023
PICHINCHA;-0,06398820;-78,35008750;65;HOMBRE;FALLECIDO;SUICIDIO;20/02/2023;FALLECIDO;25/02/2023
SANTO DOMINGO DE LOS TSACHILAS;-0,25200899;-79,18011696;48;HOMBRE;FALLECIDO;NO DETERMINADA;22/02/2023;FALLECIDO;25/02/2023
TUNGURAHUA;-1,24060754;-78,64771344;23;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;06/02/2023;ENCONTRADO;23/02/2023
PICHINCHA;-0,29492170;-78,56288970;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;14/03/2023;ENCONTRADO;28/03/2023
COTOPAXI;-0,92727005;-78,62765358;16;HOMBRE;PROBLEMAS ACADÉMICOS;BAJO RENDIMIENTO;27/03/2023;ENCONTRADO;28/03/2023
GUAYAS;-1,83205300;-79,82462300;14;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;25/03/2023;ENCONTRADO;28/03/2023
MANABI;-0,71400220;-80,10935700;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;13/01/2023;ENCONTRADO;24/02/2023
TUNGURAHUA;-1,29967700;-78,72778140;32;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;05/03/2023;ENCONTRADO;22/03/2023
GUAYAS;-1,72200842;-79,87118758;5;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;01/03/2023;ENCONTRADO;10/03/2023
GUAYAS;-1,72200842;-79,87118758;19;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;01/03/2023;ENCONTRADO;10/03/2023
EL ORO;-3,52946316;-80,02605235;24;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;07/03/2023;ENCONTRADO;08/03/2023
CAÑAR;-2,44971945;-79,31888580;52;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/01/2023;ENCONTRADO;24/02/2023
GUAYAS;-1,81887750;-79,77718710;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;27/01/2023;ENCONTRADO;23/02/2023
LOJA;-4,00651570;-79,19428730;13;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;23/02/2023;ENCONTRADO;24/02/2023
MANABI;-0,92383036;-80,45093025;13;MUJER;PROBLEMAS FAMILIARES;MALTRATO FISICO;23/02/2023;ENCONTRADO;24/02/2023
PICHINCHA;-0,14879460;-78,50644730;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;24/02/2023;ENCONTRADO;24/02/2023
EL ORO;-3,25811120;-79,95539240;59;HOMBRE;PROBLEMAS PSICOLÓGICOS;DEPRESION;21/02/2023;ENCONTRADO;23/02/2023
LOS RIOS;-1,26893055;-79,71644288;14;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;15/02/2023;ENCONTRADO;24/02/2023
GUAYAS;-2,09502920;-79,69671660;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;17/02/2023;ENCONTRADO;24/02/2023
LOS RIOS;-1,03403730;-79,45238600;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;27/01/2023;ENCONTRADO;23/02/2023
CAÑAR;-2,42751698;-79,34290006;16;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;05/01/2023;ENCONTRADO;25/02/2023
GUAYAS;-2,15125790;-79,92136900;38;HOMBRE;PROBLEMAS SOCIALES;DELINCUENCIA;20/02/2023;ENCONTRADO;24/02/2023
GUAYAS;-2,02526660;-79,94430240;67;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;ALZHEIMER;11/02/2023;ENCONTRADO;25/02/2023
GUAYAS;-2,23864287;-79,90517483;24;MUJER;PROBLEMAS SOCIALES;DELINCUENCIA;24/02/2023;ENCONTRADO;25/02/2023
MANABI;-0,71400220;-80,10935700;12;MUJER;PROBLEMAS FAMILIARES;MALTRATO SEXUAL;14/01/2023;ENCONTRADO;24/02/2023
GUAYAS;-2,15516529;-79,91957335;60;HOMBRE;DISCAPACIDADES Y ENFERMEDADES;OTRAS ENFERMEDADES MENTALES;15/01/2023;ENCONTRADO;25/02/2023
PICHINCHA;-0,32764990;-78,45062333;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;13/02/2023;ENCONTRADO;25/02/2023
LOJA;-3,99803076;-79,19926196;10;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;10/02/2023;ENCONTRADO;20/02/2023
MANABI;-1,06260883;-80,45854568;17;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;25/02/2023;ENCONTRADO;26/02/2023
AZUAY;-2,86027365;-78,98728373;14;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;18/02/2023;ENCONTRADO;27/02/2023
EL ORO;-3,27227366;-80,00291625;49;HOMBRE;EXTRAVIADA;PERSONA EXTRAVIADA;10/05/2023;ENCONTRADO;26/05/2023
TUNGURAHUA;-1,26676950;-78,62083720;16;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;24/02/2023;ENCONTRADO;25/02/2023
MANABI;-0,71400220;-80,10935700;15;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/02/2023;ENCONTRADO;25/02/2023
EL ORO;-3,47738438;-80,21465335;17;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;18/02/2023;ENCONTRADO;26/02/2023
